"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"2861","305","1400000US06037139703","Census Tract 1397.03, Los Angeles County, California"
"3488","200","1400000US06037139801","Census Tract 1398.01, Los Angeles County, California"
"4126","376","1400000US06037139802","Census Tract 1398.02, Los Angeles County, California"
"4674","628","1400000US06037141101","Census Tract 1411.01, Los Angeles County, California"
"3074","362","1400000US06037141102","Census Tract 1411.02, Los Angeles County, California"
"4583","292","1400000US06037141201","Census Tract 1412.01, Los Angeles County, California"
"2674","324","1400000US06037141202","Census Tract 1412.02, Los Angeles County, California"
"6037","570","1400000US06037141302","Census Tract 1413.02, Los Angeles County, California"
"3477","186","1400000US06037141303","Census Tract 1413.03, Los Angeles County, California"
"2995","271","1400000US06037141304","Census Tract 1413.04, Los Angeles County, California"
"5099","320","1400000US06037141400","Census Tract 1414, Los Angeles County, California"
"2982","224","1400000US06037141500","Census Tract 1415, Los Angeles County, California"
"4178","234","1400000US06037141600","Census Tract 1416, Los Angeles County, California"
"3161","236","1400000US06037141700","Census Tract 1417, Los Angeles County, California"
"4389","419","1400000US06037143100","Census Tract 1431, Los Angeles County, California"
"4085","421","1400000US06037143200","Census Tract 1432, Los Angeles County, California"
"6643","415","1400000US06037143300","Census Tract 1433, Los Angeles County, California"
"7056","611","1400000US06037143400","Census Tract 1434, Los Angeles County, California"
"5482","449","1400000US06037143500","Census Tract 1435, Los Angeles County, California"
"4769","443","1400000US06037143602","Census Tract 1436.02, Los Angeles County, California"
"2392","203","1400000US06037143603","Census Tract 1436.03, Los Angeles County, California"
"3720","359","1400000US06037143604","Census Tract 1436.04, Los Angeles County, California"
"3811","364","1400000US06037143700","Census Tract 1437, Los Angeles County, California"
"5770","511","1400000US06037143800","Census Tract 1438, Los Angeles County, California"
"4069","407","1400000US06037143901","Census Tract 1439.01, Los Angeles County, California"
"2766","262","1400000US06037143902","Census Tract 1439.02, Los Angeles County, California"
"6458","482","1400000US06037181000","Census Tract 1810, Los Angeles County, California"
"4059","373","1400000US06037181300","Census Tract 1813, Los Angeles County, California"
